email,password,user_type,UID
marc,marc,admin,UQOR4QGSPY3PKX4
aleix,aleix,admin,UZO5QQ89PY3PKX5
a,a,admin,UQO0QQGSPY3PKX6
ruf,rufi,student,UQO0QQGSPY3PKX5
hola,hola,student,UBSWMOP3LOYTD9N
marc@gmail.com,qwerty,student,UETSE2JJ5853UIP
holahola@gmail.com,hola,student,U5I7ZCGYKLPATXF
aleixrufm@gmail.com,mudkip,student,UAEB83A0J7FSGPV
pepe@gmail.com,pepe,student,UPFRZJB781ABH3T
q,q,student,UJ09GLHF6ELIW8R
alejo@gmail.com,alejo,student,U4T68IEHLQL5KX9
josefa@gmail.com,joefa,student,UTY7IMREDC9IYBO
hugo@gmail.com,hugo,student,US6W2O1K6YS3Z60
LUCHICHI@gmail.com,luchi,student,UVP0XA6F8OONXYN
pepe,pepe,student,U2ZS1KYO6XQPB0Z
